Japanisch;Deutsch
まつださんは　きょうとへ　いきます。;Matsuda-san geht nach Kyouto.
ああ、そうですか。;Ach, so ist das.

いきます;gehen, fahren
せんしゅう;letzte Woche
こんしゅう;diese Woche
らいしゅう;nächste Woche
せんげつ;letzten Monat
こんげつ;diesen Monat
らいげつ;nächsten Monat
けさ;heute morgen
こんばん;heute abend

せんしゅう　だれが　とうきょうへ　いきました　か。;Wer ist letzte Woche nach Tokyo gefahren?
たなかさんが　いきました。;Tanaka-san ist gefahren. (Antwort auf dare-ga Frage)
きのう　だれが　うちへ　きました　か。;Wer ist gestern zu Ihnen nach hause gekommen?
すずきさんが　きました。;Herr Suzuki ist gekommen. (Antwort auf dare-ga Frage)
あした　だれが　まちへ　いきます　か。;Wer geht morgen in die Stadt?
わたしが　いきます。;Ich gehe. (Antwort auf dare-ga Frage)

きます;herkommen
かえります;zurückkommen
わたし;ich

まち;Stadt
えき;Bahnhof
レストラン;Restaurant
きっさてん;Café
としょかん;Bibliothek

きのう　なにを　しました　か。;Was haben sie gestern gemacht?
えいがを　みました。;Ich habe einen Film angesehen.
どこで　えいがを みました　か。;Wo haben sie den Film angesehen?
しぶやで　えいがを みました。;In Shibuya habe ich den Film angesehen.
あなたは　いつ　おんがくを　ききます　か。;Wann hören Sie Musik?
よる　おんがくを ききます。; Ich höre abends Musik.

えいが;Film
テレビ;Fernseher
みます;sehen, ansehen
おんがく;Musik
ラジオ;Radio
ききます;hören, anhören
あなた;Sie, du

[お]げんき　です　か。;Wie geht es Ihnen?
はい、げんき　です。;Ja, mir geht es gut.
まあま　です。;Geht so (Antwort auf genki desu ka)
いいえ、げんき　じゃ　ありません。;Nein, mir geht es nicht gut.
じゃ　ありません;negativ Form von desu.

おやすみなさい;Gute Nacht

でわ　また;Also dann, auf Wiedersehen.
でわ;nun, bis dann, also dann (beim Abschied)
じゃ;nun, bis dann, also dann (beim Abschied)
また;wieder (in Verbindung mit dewa: Wir sehen uns wieder)
